Wall time,Step,Value
1616933358.342628,18,0.0001914531458169222
1616933382.333549,42,0.0001555884664412588
1616933383.162294,45,0.00015240994980558753
1616933390.336173,71,0.00012695365876425058
1616933414.883346,94,0.00010842362098628655
1616933588.682494,155,7.150504825403914e-05
1616933589.622304,158,7.004066719673574e-05
1616933602.330092,167,6.595360900973901e-05
1616933668.575149,229,4.433707727002911e-05
1616933679.723466,234,4.2926632886519656e-05
1616933695.16511,255,3.7541303754551336e-05
1616933708.061859,267,3.48642970493529e-05
1616933709.900779,273,3.353559804963879e-05
1616933721.179512,308,2.809012949001044e-05
1616933731.672463,310,2.7728812710847706e-05
1616933743.990231,318,2.690137807803694e-05
1616933753.119204,347,2.4654464141349308e-05
1616933768.634259,367,2.3757631424814463e-05
1616933803.990752,421,2.2559624994755723e-05
1616933815.657855,460,2.2170119336806238e-05
1616933819.789694,474,2.2051874111639336e-05
1616933848.719463,536,2.1802703486173414e-05
1616933856.742046,563,2.16941989492625e-05
1616933861.568487,579,2.164558281947393e-05
1616933863.655508,586,2.1612415366689675e-05
1616933863.948314,587,2.158939969376661e-05
1616933873.963619,620,2.1560368622886017e-05
1616933878.122675,634,2.1440080672618933e-05
1616933881.970366,647,2.146491897292435e-05
1616933886.105171,661,2.141938057320658e-05
1616933889.090464,671,2.1358111553126946e-05
1616933911.728087,714,2.1163215933484025e-05
1616933914.174574,722,2.1287303752615117e-05
1616933916.565614,730,2.1249143173918128e-05
1616933945.668241,765,2.1194000510149635e-05
1616933947.15049,769,2.1046003894298337e-05
1616933947.874815,771,2.1193216525716707e-05
1616933952.224464,785,2.1020392523496412e-05
1616933952.895834,787,2.1153968191356398e-05
1616933955.061056,794,2.1074638425488956e-05
1616933957.660134,802,2.115123970725108e-05
1616933959.606249,808,2.107803084072657e-05
1616933968.446751,836,2.103139559039846e-05
1616934001.764969,945,2.068343928840477e-05
1616934009.922522,971,2.0800505808438174e-05
1616934010.237041,972,2.084417974401731e-05
1616934012.124407,978,2.0784953449037857e-05
1616934013.88335,984,2.078456054732669e-05
1616934019.318018,1002,2.0779627448064275e-05
1616934020.207532,1005,2.0875531845376827e-05
1616934022.890439,1014,2.0558798496495e-05
1616934037.808336,1063,2.0625997422030196e-05
1616934038.843619,1066,2.0733354176627472e-05
1616934042.392473,1078,2.0692499674623832e-05
1616934047.086129,1093,2.062082421616651e-05
1616934048.940396,1099,2.0664097974076867e-05
1616934050.497061,1104,2.0617502741515636e-05
1616934067.52031,1156,2.0528930690488778e-05
1616934069.033453,1161,2.0545774532365613e-05
1616934069.329994,1162,2.0496414435910992e-05
1616934074.516562,1180,2.0585472157108597e-05
1616934078.140527,1193,2.045162909780629e-05
1616934093.24648,1244,2.0374298401293345e-05
1616934098.305034,1261,2.0439976651687175e-05
1616934122.829084,1316,2.020968167926185e-05
1616934123.669049,1319,2.03035342565272e-05
1616934127.630883,1333,2.0422427041921765e-05
1616934128.762588,1337,2.040106301137712e-05
1616934142.67904,1385,2.02451046789065e-05
1616934144.917571,1392,2.019881685555447e-05
1616934151.560408,1414,2.0289046005927958e-05
1616934155.031786,1426,2.044143548118882e-05
1616934157.799421,1436,2.0314822904765606e-05
1616934166.541023,1466,2.0291743567213416e-05
1616934169.734871,1477,2.0319259419920854e-05
1616934173.961571,1491,2.0212342860759236e-05
1616934182.917704,1523,2.0475270503084175e-05
1616934199.408231,1552,2.0279503587516956e-05
1616934203.845502,1568,1.9712299035745673e-05
1616934208.262074,1584,2.023788147198502e-05
1616934209.356919,1588,2.0131752535235137e-05
1616934214.09514,1605,2.011088145081885e-05
1616934223.865821,1640,1.988295844057575e-05
1616934235.55639,1682,1.9918215912184678e-05
1616934237.999223,1691,2.0252331523806788e-05
1616934241.005965,1702,1.9800130758085288e-05
1616934242.90136,1709,1.981353125302121e-05
1616934245.338483,1718,1.9872772099915892e-05
1616934249.150513,1732,1.988510848605074e-05
1616934249.702301,1734,1.9804816474788822e-05
1616934250.542368,1737,1.9767514459090307e-05
1616934262.58071,1781,1.936195621965453e-05
1616934274.759268,1826,1.9851904653478414e-05
1616934279.605639,1844,1.949539000634104e-05
1616934282.004164,1853,1.9837361833197065e-05
1616934285.483791,1866,1.9693317881319672e-05
1616934286.291894,1869,1.940713082149159e-05
1616934288.419019,1877,1.9723709556274116e-05
1616934299.261006,1917,1.9790842998190783e-05
1616934303.782711,1934,1.9766810510191135e-05
1616934306.526777,1944,1.954727849806659e-05
1616934307.363201,1947,1.953237187990453e-05
1616934322.454555,2001,1.9700419215951115e-05
1616934325.739908,2013,1.936087937792763e-05
1616934331.881957,2036,1.9128256099065766e-05
1616934342.800805,2076,1.9290828277007677e-05
1616934343.073356,2077,1.8803832062985748e-05
1616934345.247964,2085,1.895470813906286e-05
1616934346.341782,2089,1.934566353156697e-05
1616934348.260908,2096,1.9179396986146457e-05
1616934362.557611,2149,1.912914012791589e-05
1616934364.438079,2156,1.8835888113244437e-05
1616934372.765388,2187,1.9173485270584933e-05
1616934373.833714,2191,1.9199131202185526e-05
1616934375.979217,2199,1.913720916491002e-05
1616934378.271944,2207,1.9407400031923316e-05
1616934379.349439,2211,1.876983151305467e-05
1616934384.762831,2231,1.901022915262729e-05
1616934386.108653,2236,1.8624556105351076e-05
1616934386.376569,2237,1.928425808728207e-05
1616934391.739683,2257,1.8602411728352308e-05
1616934393.094321,2262,1.8701904991758056e-05
1616934398.184148,2281,1.889867417048663e-05
1616934402.409826,2297,1.877171416708734e-05
1616934405.029305,2307,1.930963662744034e-05
1616934408.170227,2319,1.8861454009311274e-05
1616934414.986491,2345,1.869664811238181e-05
1616934417.370896,2354,1.9056458768318407e-05
1616934426.714512,2389,1.8833465219358914e-05
1616934426.987178,2390,1.905244425870478e-05
1616934427.518106,2392,1.8799968529492617e-05
1616934439.386264,2436,1.859312760643661e-05
1616934441.538326,2444,1.863768011389766e-05
1616934443.964381,2453,1.8605631339596584e-05
1616934444.512297,2455,1.8859007468563505e-05
1616934445.867906,2460,1.8868293409468606e-05
1616934452.65196,2485,1.8456012185197324e-05
1616934452.915192,2486,1.8765791537589394e-05
1616934455.591218,2496,1.8825283405021764e-05
1616934456.130258,2498,1.8493157767807133e-05
1616934457.47298,2503,1.86042543646181e-05
1616934461.262972,2517,1.9070919734076597e-05
1616934462.888413,2523,1.867986429715529e-05
1616934465.305316,2532,1.8787903172778897e-05
1616934469.341083,2547,1.855407390394248e-05
1616934470.946158,2553,1.8288428691448644e-05
1616934485.991085,2606,1.8679385902942158e-05
1616934508.215212,2685,1.8751197785604745e-05
1616934513.00874,2703,1.8171684132539667e-05
1616934523.855658,2740,1.836087176343426e-05
1616934527.638376,2754,1.8911689039669e-05
1616934536.978387,2789,1.8497466953704134e-05
1616934559.097414,2872,1.8310132873011753e-05
1616934565.462451,2896,1.8712999008130282e-05
1616934584.686254,2967,1.843433165049646e-05
1616934586.860982,2975,1.8163260392611846e-05
1616934597.035463,3011,1.8097785869031213e-05
1616934604.621626,3038,1.838467869674787e-05
1616934605.439768,3041,1.8033420928986743e-05
1616934622.136544,3099,1.8555840142653324e-05
1616934639.28336,3161,1.8027461919700727e-05
1616934643.837552,3177,1.8543420083005913e-05
1616934648.997355,3195,1.820955003495328e-05
1616934649.280509,3196,1.853395406214986e-05
1616934658.998505,3230,1.819564204197377e-05
1616934661.769559,3240,1.8367620214121416e-05
1616934662.582664,3243,1.8238284610561095e-05
1616934662.857838,3244,1.862097269622609e-05
1616934663.411083,3246,1.8375914805801585e-05
1616934663.686828,3247,1.8429573174216785e-05
1616934679.530334,3305,1.8445383830112405e-05
1616934690.561849,3345,1.861489363363944e-05
1616934699.212483,3376,1.838668504205998e-05
1616934707.283708,3403,1.8656279280548915e-05
1616934708.773297,3408,1.8615286535350606e-05
1616934715.001938,3430,1.8330398233956657e-05
1616934720.438592,3449,1.8589658793644048e-05
1616934724.753179,3464,1.8460041246726178e-05
1616934729.459586,3480,1.8451313735567965e-05
1616934737.687694,3509,1.8405546143185347e-05
1616934738.563783,3512,1.8642553186509758e-05
1616934746.611243,3537,1.8380102119408548e-05
1616934764.480251,3600,1.869816151156556e-05
1616934769.497098,3618,1.8311109670321457e-05
1616934770.062505,3620,1.856560083979275e-05
1616934770.598225,3622,1.8696524421102367e-05
1616934772.451739,3628,1.8623502910486422e-05
1616934780.782222,3656,1.840251024987083e-05
1616934784.905496,3670,1.8861783246393315e-05
1616934800.454974,3726,1.8568598534329794e-05
1616934801.542353,3730,1.854112997534685e-05
1616934804.533976,3741,1.8451570213073865e-05
1616934819.52624,3793,1.8177126548835076e-05
1616934825.598322,3814,1.82851235877024e-05
1616934827.0124,3819,1.8233215087093413e-05
1616934827.570806,3821,1.8413040379527956e-05
1616934830.427284,3831,1.854173024185002e-05
1616934839.619992,3864,1.8510701920604333e-05
1616934842.853713,3876,1.8288717910763808e-05
1616934857.693814,3928,1.8645310774445534e-05
1616934866.126734,3956,1.8513173927203752e-05
1616934874.366516,3984,1.8455397366778925e-05
1616934885.293362,4022,1.8193868527305312e-05
1616934888.375485,4033,1.8133670891984366e-05
1616934889.21358,4036,1.8299320799997076e-05
1616934905.488293,4093,1.8403301510261372e-05
1616934906.888939,4098,1.8447519323672168e-05
1616934909.977867,4109,1.8410843040328473e-05
1616934930.233438,4182,1.840359254856594e-05
1616934933.668001,4194,1.8347498553339392e-05
1616934934.263647,4196,1.8470325812813826e-05
1616934935.717688,4201,1.837209492805414e-05
1616934936.006815,4202,1.8683045709622093e-05
1616934942.907655,4227,1.852259083534591e-05
1616934944.235558,4232,1.833469832490664e-05
1616934945.056077,4235,1.831924237194471e-05
1616934947.238689,4243,1.8346505385125056e-05
1616934952.69503,4263,1.824011269491166e-05
1616934953.508845,4266,1.8259743228554726e-05
1616934957.870944,4282,1.8367079974268563e-05
1616934963.96333,4304,1.838573007262312e-05
1616934967.548074,4317,1.834356226027012e-05
1616934968.098229,4319,1.8456039470038377e-05
1616934982.693341,4369,1.8093831386067905e-05
1616934989.235301,4393,1.865961166913621e-05
1616934991.120587,4400,1.8392218407825567e-05
1616934992.739062,4406,1.8254218957736157e-05
1616934999.255795,4430,1.8197441022493877e-05
1616935000.069249,4433,1.8483284293324687e-05
1616935015.989419,4492,1.8256219846080057e-05
1616935020.560232,4509,1.832920497690793e-05
1616935026.209128,4530,1.8234541130368598e-05
1616935040.205647,4578,1.8294538676855154e-05
1616935041.004804,4581,1.85272547241766e-05
1616935053.584442,4628,1.834296199376695e-05
1616935060.985987,4656,1.8272981833433732e-05
1616935063.097806,4664,1.8209484551334754e-05
1616935064.160149,4668,1.8131368051399477e-05
1616935066.286701,4676,1.8337452274863608e-05
1616935076.987452,4713,1.8335551430936903e-05
1616935078.346676,4718,1.8416560124023817e-05
1616935087.159779,4750,1.822995545808226e-05
1616935089.349554,4758,1.8227081454824656e-05
1616935091.824566,4767,1.8389107935945503e-05
1616935098.250683,4788,1.813020571717061e-05
1616935101.535722,4800,1.8188093235949054e-05
1616935102.081265,4802,1.816573058022186e-05
1616935112.515411,4840,1.8033177184406668e-05
1616935115.840756,4852,1.8351045582676306e-05
1616935127.387603,4894,1.8172138879890554e-05
1616935145.740733,4962,1.814965253288392e-05
1616935148.156849,4971,1.8353657651459798e-05
1616935148.968771,4974,1.8231867215945385e-05
1616935170.202399,5050,1.8348942830925807e-05
1616935170.733023,5052,1.823521415644791e-05
1616935171.001163,5053,1.814541974454187e-05
1616935186.033345,5106,1.836525734688621e-05
1616935193.480921,5134,1.822094236558769e-05
1616935211.359171,5200,1.8286613340023905e-05
1616935222.596654,5239,1.8224065570393577e-05
1616935247.779341,5329,1.8246575564262457e-05
1616935252.119036,5345,1.813000017136801e-05
1616935255.839378,5359,1.816697658796329e-05
1616935272.159994,5420,1.8344138879911043e-05
1616935278.155634,5442,1.819766839616932e-05
1616935292.356289,5495,1.82620897248853e-05
1616935297.783416,5515,1.840276672737673e-05
1616935298.33202,5517,1.814729876059573e-05
1616935306.962812,5549,1.813294511521235e-05
1616935313.4667,5573,1.8236987671116367e-05
1616935317.301821,5587,1.8078273569699377e-05
1616935328.877978,5630,1.8202297724201344e-05
1616935337.412356,5658,1.8260645447298884e-05
1616935337.944948,5660,1.8393864593235776e-05
1616935339.02877,5664,1.8130822354578413e-05
1616935343.029476,5679,1.823191632865928e-05
1616935354.039649,5720,1.812600385164842e-05
1616935354.853109,5723,1.8104849004885182e-05
1616935369.252714,5776,1.8264370737597346e-05
1616935377.738777,5807,1.8329017620999366e-05
1616935378.01247,5808,1.8090036974172108e-05
1616935382.639849,5825,1.8213688235846348e-05
1616935383.460206,5828,1.814501592889428e-05
1616935392.602004,5862,1.8150758478441276e-05
1616935393.138419,5864,1.809203786251601e-05
1616935395.036961,5871,1.811272704799194e-05
1616935404.740402,5907,1.8106034985976294e-05
1616935410.40762,5928,1.8190770788351074e-05
1616935416.840094,5952,1.8146734873880632e-05
1616935418.189588,5957,1.8159365936298855e-05
1616935419.808763,5963,1.8194263248005882e-05
1616935427.030644,5990,1.8215789168607444e-05
1616935432.441124,6010,1.8281312804901972e-05
1616935433.808208,6015,1.818909731809981e-05
1616935437.878135,6030,1.8342057956033386e-05
1616935439.256895,6035,1.8155935322283767e-05
1616935451.117346,6078,1.8071557860821486e-05
1616935458.90624,6103,1.811056245060172e-05
1616935459.452265,6105,1.8157190424972214e-05
1616935464.019351,6121,1.803289160307031e-05
1616935466.925099,6131,1.815515133785084e-05
1616935482.769643,6181,1.8164650100516155e-05
1616935488.164916,6200,1.813353992474731e-05
1616935492.069616,6213,1.8167424059356563e-05
1616935493.733839,6219,1.813560629670974e-05
1616935497.313302,6232,1.8108325093635358e-05
1616935513.292012,6289,1.8176695448346436e-05
1616935519.583717,6312,1.821161640691571e-05
1616935521.005142,6317,1.812773189158179e-05
1616935527.686875,6341,1.8136419384973124e-05
1616935530.700564,6352,1.827465348469559e-05
1616935533.950433,6363,1.817945303628221e-05
1616935537.577362,6376,1.8203138097305782e-05
1616935544.575905,6400,1.8130946045857854e-05
1616935572.48947,6495,1.8174079741584137e-05
1616935572.773967,6496,1.809523382689804e-05
1616935573.891016,6500,1.8281813026987948e-05
1616935579.2995,6520,1.8144062778446823e-05
1616935593.899339,6574,1.8116876162821427e-05
1616935596.611428,6584,1.809414789022412e-05
1616935601.881582,6603,1.810799767554272e-05
1616935617.654408,6657,1.8198459656559862e-05
1616935620.260828,6666,1.806113141356036e-05
1616935622.111849,6672,1.8233253285870887e-05
1616935623.837153,6678,1.806311047403142e-05
1616935624.755692,6681,1.8179494873038493e-05
1616935626.800734,6688,1.8099048247677274e-05
1616935629.114183,6696,1.8116967112291604e-05
1616935629.970474,6699,1.812843038351275e-05
1616935633.256348,6711,1.8158252714783885e-05
1616935640.681453,6738,1.8121430912287906e-05
1616935641.763526,6742,1.8193535652244464e-05
1616935644.742277,6753,1.806254658731632e-05
1616935665.885102,6832,1.8100170564139262e-05
1616935669.591744,6846,1.8133518096874468e-05
1616935671.691492,6854,1.8059357898891903e-05
1616935675.628043,6869,1.8184906366514042e-05
1616935693.228455,6934,1.807598164305091e-05
1616935701.697294,6963,1.809173591027502e-05
1616935702.566483,6966,1.8000648196903057e-05
1616935710.513635,6992,1.814788265619427e-05
1616935716.491511,7014,1.817773954826407e-05
1616935737.785956,7091,1.814690767787397e-05
1616935741.927818,7106,1.8051474398816936e-05
1616935744.274639,7114,1.806360887712799e-05
1616935750.683347,7137,1.8233058654004708e-05
1616935755.686407,7155,1.8108579752151854e-05
1616935766.452522,7195,1.8087474018102512e-05
1616935772.199145,7216,1.8079868823406287e-05
1616935780.587155,7247,1.8128677766071633e-05
1616935794.60914,7300,1.808440538297873e-05
1616935797.502206,7311,1.818515738705173e-05
1616935802.297089,7329,1.813008748285938e-05
1616935805.077433,7339,1.8196578821516596e-05
1616935805.357561,7340,1.8042153897113167e-05
1616935810.617111,7359,1.8058151908917353e-05
1616935817.28487,7382,1.8158063539885916e-05
1616935822.677667,7401,1.815325958887115e-05
1616935834.467146,7440,1.8071372323902324e-05
1616935835.323634,7443,1.8012475266004913e-05
1616935837.305999,7450,1.8127839211956598e-05
1616935840.136019,7460,1.812975824577734e-05
1616935840.967694,7463,1.7986374587053433e-05
1616935845.155394,7478,1.8139153326046653e-05
1616935854.846493,7511,1.8111704775947146e-05
1616935860.229934,7530,1.8101307432516478e-05
1616935883.231125,7609,1.8092230675392784e-05
1616935892.95181,7644,1.8069309589918703e-05
1616935897.775779,7661,1.8048893252853304e-05
1616935902.281285,7676,1.8110897144651972e-05
1616935905.79656,7687,1.8036249457509257e-05
1616935907.566935,7693,1.8023023585556075e-05
1616935914.792425,7718,1.8119382730219513e-05
1616935916.200592,7723,1.8124743291991763e-05
1616935917.585348,7728,1.8023845768766478e-05
1616935922.815957,7746,1.8072279999614693e-05
1616935925.946128,7757,1.8128483134205453e-05
1616935926.782122,7760,1.808289198379498e-05
1616935932.318379,7780,1.808107663237024e-05
1616935935.131222,7788,1.804454041121062e-05
1616935937.919852,7798,1.8043809177470393e-05
1616935947.57912,7833,1.803658415155951e-05
1616935948.966423,7838,1.8138478480977938e-05
1616935966.56774,7899,1.8144144632969983e-05
1616935966.849371,7900,1.800456448108889e-05
1616935976.026346,7932,1.8095668565365486e-05
1616935990.568216,7983,1.8037442714557983e-05
1616935992.910364,7991,1.8068552890326828e-05
1616936002.733371,8026,1.809718378353864e-05
1616936005.787858,8037,1.8060603906633332e-05
1616936009.064863,8049,1.8075452317134477e-05
1616936013.696953,8066,1.8092179743689485e-05
1616936030.406775,8126,1.803048508008942e-05
1616936045.835802,8180,1.802731458155904e-05
1616936046.902583,8184,1.804753628675826e-05
1616936050.620317,8198,1.8045473552774638e-05
1616936055.269897,8215,1.804076964617707e-05
1616936056.864862,8221,1.8058495697914623e-05
1616936068.149751,8263,1.8083901522913948e-05
1616936072.654185,8279,1.8016800822806545e-05
1616936075.797197,8290,1.8149163224734366e-05
1616936080.609864,8307,1.801591679395642e-05
1616936086.083937,8327,1.8033559172181413e-05
1616936087.44742,8332,1.805004467314575e-05
1616936087.989478,8334,1.8051427105092444e-05
1616936089.593187,8340,1.8068478311761282e-05
1616936095.011321,8360,1.8150471078115515e-05
1616936095.832005,8363,1.804806561267469e-05
1616936097.201223,8368,1.8050395738100633e-05
1616936099.656356,8377,1.803230588848237e-05
1616936125.332137,8467,1.8054859538096935e-05
1616936125.602824,8468,1.801438156689983e-05
1616936126.153502,8470,1.8041495422949083e-05
1616936133.677055,8498,1.8131115211872384e-05
1616936135.006764,8503,1.804024213925004e-05
1616936136.338266,8508,1.7996469978243113e-05
1616936151.67077,8566,1.803538907552138e-05
1616936158.598144,8592,1.8082047972711734e-05
1616936161.037516,8601,1.8005377569352277e-05
1616936170.74502,8634,1.804931707738433e-05
1616936171.011998,8635,1.803946724976413e-05
1616936173.408794,8644,1.7989477782975882e-05
1616936183.6062,8682,1.8010969142778777e-05
1616936185.74779,8690,1.8038106645690277e-05
1616936187.085002,8695,1.801913276722189e-05
1616936195.611633,8727,1.8069584257318638e-05
1616936208.012483,8774,1.8007804101216607e-05
1616936209.065649,8778,1.806411091820337e-05
1616936215.151955,8801,1.804773091862444e-05
1616936219.932265,8819,1.80161114258226e-05
1616936220.738668,8822,1.806505497370381e-05
1616936226.324655,8843,1.8020366042037494e-05
1616936229.286582,8854,1.801951293600723e-05
1616936235.73367,8878,1.8021870346274227e-05
1616936237.607282,8885,1.8180069673690014e-05
1616936242.236312,8902,1.7994070731219836e-05
1616936243.748546,8904,1.8009901395998895e-05
1616936244.563637,8907,1.7987669707508758e-05
1616936250.235428,8928,1.8006096070166677e-05
1616936252.10549,8935,1.802076985768508e-05
1616936258.122031,8958,1.8030475985142402e-05
1616936262.580959,8975,1.8004513549385592e-05
1616936267.312069,8993,1.798172525013797e-05
1616936268.890493,8999,1.8015240129898302e-05
1616936271.496074,9009,1.804875319066923e-05
1616936276.541581,9028,1.8074386389344e-05
1616936283.769774,9055,1.7992853827308863e-05
1616936285.914604,9063,1.8050663129542954e-05
1616936291.60156,9084,1.8007141989073716e-05
1616936310.844549,9155,1.806229010981042e-05
1616936327.1192,9216,1.8032476873486303e-05
1616936329.810486,9226,1.809868263080716e-05
1616936331.677018,9233,1.8012762666330673e-05
1616936338.88867,9260,1.8007485778070986e-05
1616936344.477853,9281,1.8005930542130955e-05
1616936351.483662,9307,1.7991666027228348e-05
1616936353.914522,9316,1.8023371012532152e-05
1616936362.569071,9348,1.8001497664954513e-05
1616936368.276685,9369,1.79891794687137e-05
1616936379.7678,9412,1.7997035683947615e-05
1616936380.570551,9415,1.802548285922967e-05
1616936385.895055,9435,1.8005375750362873e-05
1616936387.741726,9442,1.802898259484209e-05
1616936395.925928,9468,1.8007283870247193e-05
1616936414.538966,9538,1.8017155525740236e-05
1616936416.950848,9547,1.800819518393837e-05
1616936418.844307,9554,1.7991951608564705e-05
1616936422.350751,9567,1.8018812625086866e-05
1616936428.314574,9589,1.8025080862571485e-05
1616936431.275404,9600,1.8018210539594293e-05
1616936434.242143,9611,1.8009675841312855e-05
1616936438.588675,9627,1.799746314645745e-05
1616936445.084869,9651,1.799201527319383e-05
1616936446.707539,9657,1.7988157196668908e-05
1616936452.868337,9680,1.8015134628512897e-05
1616936457.68611,9698,1.7992639186559245e-05
1616936474.08061,9759,1.799776146071963e-05
1616936476.492319,9768,1.799109850253444e-05
1616936488.437738,9812,1.7989175830734894e-05
1616936496.108753,9840,1.7996000678976998e-05
1616936496.928083,9843,1.7977525203605182e-05
1616936508.660801,9883,1.7992024368140846e-05
1616936515.095423,9907,1.798590164980851e-05
1616936532.227857,9972,1.7974554793909192e-05
1616936552.804777,10050,1.7983516954700463e-05
1616936554.161385,10055,1.8006909158430062e-05
1616936554.97539,10058,1.800676363927778e-05
1616936558.752711,10072,1.802186670829542e-05
1616936561.978573,10084,1.8028564227279276e-05
1616936568.201879,10107,1.797423101379536e-05
1616936569.826061,10113,1.8011367501458153e-05
1616936573.865361,10128,1.797878030629363e-05
1616936578.182584,10144,1.7967198800761253e-05
1616936585.607846,10168,1.7997957911575213e-05
1616936590.116291,10185,1.8034812455880456e-05
1616936606.025001,10245,1.7999780538957566e-05
1616936608.926902,10256,1.7985057638725266e-05
1616936614.238458,10276,1.8022945369011723e-05
1616936616.09617,10283,1.7975411537918262e-05
1616936617.434858,10288,1.799584242689889e-05
1616936646.260896,10396,1.7985861632041633e-05
1616936647.074911,10399,1.799013807612937e-05
1616936652.738879,10420,1.7979218682739884e-05
1616936654.080207,10425,1.7981432392844e-05
1616936665.56825,10468,1.797328150132671e-05
